,Cluster Labels,Area,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,True Count,Latitude,Longitude
0,0,Agripada ,Indian Restaurant,Fast Food Restaurant,Bakery,1,18.9753024,72.8248975
1,0,Andheri ,Indian Restaurant,Sandwich Place,Vegetarian / Vegan Restaurant,2,19.1196976,72.8464205
2,0,Andheri East ,Fast Food Restaurant,Indian Restaurant,Hotel,1,19.1158835,72.854202
3,0,Andheri Railway Station ,Indian Restaurant,Sandwich Place,Vegetarian / Vegan Restaurant,2,19.1196976,72.8464205
4,0,Anushakti Nagar ,Food,Indian Restaurant,Fast Food Restaurant,1,19.0395778,72.9221562
5,2,Azad Nagar  ,Bar,Indian Restaurant,Pub,1,19.1283153,72.8400381
6,2,B P T Colony ,Indian Restaurant,Fast Food Restaurant,Theater,1,19.1717817,72.944423
7,0,B.N. Bhavan ,Indian Restaurant,Restaurant,Ice Cream Shop,1,18.9573572,72.81074285925268
8,0,Bandra(East) ,Indian Restaurant,Restaurant,Café,1,19.0616565,72.8498111
9,2,Best Staff Colony ,Chinese Restaurant,Indian Restaurant,Food,1,19.0466764,72.9133386
10,0,Bhandup Complex ,Indian Restaurant,Train Station,Multiplex,1,19.1438684,72.9384327
11,2,Bhandup West ,Indian Restaurant,Train Station,Multiplex,1,19.1462636,72.9339461
12,0,Bharat Nagar  ,ATM,Indian Restaurant,Department Store,1,19.0601405,72.9287294
13,0,Bhawani Shankar ,Indian Restaurant,Coffee Shop,Fast Food Restaurant,1,19.0159285,72.8374599
14,2,Borivali East ,Ice Cream Shop,Indian Restaurant,Clothing Store,1,19.2267228,72.8619328
15,2,Borivali West ,Ice Cream Shop,Restaurant,Indian Restaurant,1,19.2294561,72.8479905
16,2,Century Mill ,Lounge,Indian Restaurant,Bakery,1,19.00830055,72.82514552356288
17,3,Chakala Midc ,Hotel,Indian Restaurant,Seafood Restaurant,2,19.11203595,72.8676217487513
18,2,Chamarbaug ,Coffee Shop,Indian Restaurant,Lounge,1,19.0017593,72.8408002
19,2,Charni Road ,Juice Bar,Indian Restaurant,Breakfast Spot,1,18.9524563,72.8174395
20,1,Chembur ,Indian Restaurant,Restaurant,Café,1,19.0626319,72.9011399
21,1,Chinchbunder ,Indian Restaurant,Dessert Shop,Hotel,1,18.9567506,72.83705316338038
22,2,Chinchpokli ,Coffee Shop,Zoo,Tea Room,1,18.9871984,72.8326716
23,2,Chunabhatti ,Indian Restaurant,Seafood Restaurant,Café,2,19.0517703,72.8690974
24,2,Churchgate ,Cricket Ground,Ice Cream Shop,Indian Restaurant,1,18.9359567,72.8273404
25,2,Colaba ,Indian Restaurant,Diner,Hotel,1,18.915091,72.8259691
26,0,Dadar ,Indian Restaurant,Fast Food Restaurant,Café,1,19.019282,72.8428757
27,0,Dadar Colony ,Indian Restaurant,Chinese Restaurant,Beach,1,19.0326492,72.8440265
28,2,Dahisar ,Indian Restaurant,Café,Restaurant,1,19.2494501,72.8596206
29,2,Delisle Road ,Hotel,Shopping Mall,Indian Restaurant,1,18.9932602,72.8310115
